Freq,S11_real,S11_imag,S12_real,S12_imag,S21_real,S21_imag,S22_real,S22_imag
20180018.002,-0.4785232802,-0.8480552381,-0.0001638547751,0.0001579959973,-7.053737321e-05,0.0001276850186,0.9998001818,0.009883543648
20184018.402,-0.4776108641,-0.8513665843,-0.0002146520609,-7.145115197e-05,0.0003244739649,1.792005451e-05,0.9984008185,0.01062716371
20188018.802,-0.4774479148,-0.8471678905,0.0004179290656,0.0001858066931,-0.000375553453,0.0004479817959,1.000462138,0.008710836931
20192019.202,-0.4794158353,-0.8489696375,-0.0001445611773,-1.968335297e-05,-4.001978762e-05,-0.0005327488687,1.000178636,0.009021983008
20196019.602,-0.4769656633,-0.8473610319,-0.0004376833311,-0.0002473428277,0.0001999907679,6.265868994e-05,1.00045155,0.009851809592
20200020.002,-0.480241147,-0.8451621208,-0.0001153496903,-0.0001345860065,-0.0001067405026,-0.0002424601345,0.9990245513,0.008339738492
20204020.402,-0.4801840388,-0.8482667402,0.0001431923812,0.0002359532312,1.478944134e-05,-0.0002301484693,0.9999340022,0.008317010869
20208020.802,-0.4778801054,-0.8475008285,0.000741019958,0.00036254551,9.756610479e-06,-0.000267741013,0.9994670766,0.009160378921
20212021.202,-0.4813732211,-0.8456808715,-0.0002031691373,-0.0003149886947,0.0001626744926,-0.0001682928835,0.9992396425,0.009446844061
20216021.602,-0.4821732996,-0.8465126059,-0.0002425995238,-0.0001054949257,-0.0001690373484,0.0001453588665,1.000016221,0.008126047516
20220022.002,-0.4821788442,-0.8471837665,0.0001307507533,-0.0004865744943,-0.0001040674655,-8.427882214e-05,1.000555319,0.009063932463
20224022.402,-0.4801021937,-0.8454061423,0.0001265029369,-0.000177239244,-5.431989543e-05,0.0005317729252,0.9991622542,0.00845204096
20228022.802,-0.4812025139,-0.8432360945,-0.0007006119303,0.0001892150049,3.844714961e-05,0.0002760368379,1.00012981,0.008821883085
20232023.202,-0.4819912789,-0.8448428707,9.665952256e-05,0.0005131909229,4.003540434e-05,0.0001682582355,0.9987240779,0.007947771764
20236023.602,-0.4817885107,-0.8446641547,-0.0001821247128,0.0003038379536,5.01953798e-05,-0.0001519672232,0.9994068867,0.008601374206
20240024.002,-0.4848784466,-0.8432550344,0.0001320828459,0.0002970711906,-0.0001761669123,-0.0002702444104,0.999725876,0.009162485689
20244024.402,-0.4836839656,-0.8444112405,-0.0001171107953,0.0003604416088,7.39417538e-05,0.0004894354577,0.9990416849,0.008703269963
20248024.802,-0.4842944431,-0.8445242932,-3.890060358e-05,-0.0003523955325,-4.395994452e-05,-0.0002275016862,1.000056558,0.0084337316
20252025.203,-0.48783342,-0.8442525396,0.0006850904563,-0.0003267328388,9.087631538e-05,-8.073221692e-05,0.9992378152,0.008895304716
20256025.603,-0.4866839235,-0.8441326944,0.0001700940673,0.0001276042785,-0.000526270348,9.427032487e-05,0.9990311893,0.008395307052
20260026.003,-0.4851716139,-0.8432079773,1.791030054e-05,-0.0003934062114,0.0001279226407,8.178955456e-05,0.9978911683,0.008904984165
20264026.403,-0.4876585467,-0.8432958478,9.850493637e-05,0.0001845025638,0.0001897975292,-0.0001239388191,1.000090696,0.008649460485
20268026.803,-0.4872430054,-0.8431085228,-0.0001811072244,-2.703919536e-05,-0.0002498458625,-4.955727154e-05,0.9998823566,0.009646579581
20272027.203,-0.4862630967,-0.8421421228,-0.0001390938051,0.0002718610657,0.0001714482334,-0.0003592703546,1.000112877,0.008086568918
20276027.603,-0.4862315333,-0.8419271689,-1.193350637e-05,-0.0002787426397,-5.497570788e-05,-0.0002426982295,0.9999169523,0.009047577399
20280028.003,-0.4866877758,-0.8433218671,6.924316778e-06,-4.043031938e-05,0.0001492563055,0.0003012414034,0.9996979133,0.008156997917
20284028.403,-0.4915059789,-0.8429711611,0.0002884138084,0.0003837410476,0.000395786951,0.0001765248203,0.999946935,0.009217774172
20288028.803,-0.4886703675,-0.8438681575,-0.0007153683238,-0.0003194494787,-0.0004090180971,0.0004090057585,1.000412692,0.008656310097
20292029.203,-0.4903044178,-0.8417672907,-0.0003147201642,8.29084067e-05,-6.701179516e-05,-7.672400926e-05,0.9997025538,0.009518692335
20296029.603,-0.4908695566,-0.8417782863,-7.708163292e-05,0.0003995492719,7.523437689e-05,4.511944035e-05,1.000221076,0.008462833858
20300030.003,-0.4872135597,-0.8400517155,3.634932743e-05,-1.283550351e-05,-9.898225137e-05,-0.0003363359732,0.9995966398,0.008319843941
20304030.403,-0.4900514116,-0.8392991131,0.0002170237074,-0.0004314709875,-0.0005301870694,-0.0001207869033,0.9991973402,0.009470022764
